project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,species_class,method,rain,wind,noise,industry_noise,audio_issues,species_individual_name,transcriber,confidence,abundance,min0_voc,min0_start,min0_freq_range,min0_tag_duration,min1_voc,min1_start,min1_freq_range,min1_tag_duration,min2_voc,min2_start,min2_freq_range,min2_tag_duration,daily_weather_station_nm,task_status,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation_mm,hourly_wind_direction,hourly_wind_speed,hourly_visibility_km,hourly_station_pressure,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,task_comment,species_comment,original_file_name,tagged_in_wildtrax
Edge Communities,BU,H-P10-29-10,2021-05-26,05:20:00,Active,56.771700,-114.833780,,WIWR,Troglodytes hiemalis,Winter Wren,AVES,3m 1SPR,Light,None,Light,None,Both Sides Extra Static,3,Gill Holmes,Confident,1,Song,1.4,2.05kHz to 7.56kHz,5.49,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,3.30,17.40,10.40,,,0.00,,RED EARTH,546.00m,37km,3.50,-7.90,43,0.00,11,13,,95.43,,,NA,,,Heavy static.,,H-P10-29-10_20210526_052000.wav,t
Edge Communities,BU,H-P10-29-10,2021-05-26,05:20:00,Active,56.771700,-114.833780,,CORE,Acanthis flammea,Common Redpoll,AVES,3m 1SPR,Light,None,Light,None,Both Sides Extra Static,1,Gill Holmes,To Be Checked,1,,,,,Call,31.2,1.49kHz to 6.72kHz,5.98,,,,,RED EARTH,Transcribed,546.00m,37km,3.30,17.40,10.40,,,0.00,,RED EARTH,546.00m,37km,3.50,-7.90,43,0.00,11,13,,95.43,,,NA,,,Heavy static.,"It is very soft, in pairs of two or three notes. Similar to CORE.",H-P10-29-10_20210526_052000.wav,t
Edge Communities,BU,H-P10-29-10,2021-05-26,05:20:00,Active,56.771700,-114.833780,,WIWR,Troglodytes hiemalis,Winter Wren,AVES,3m 1SPR,Light,None,Light,None,Both Sides Extra Static,1,Gill Holmes,Confident,1,,,,,,,,,Song,14.4,1.77kHz to 8.78kHz,5.76,RED EARTH,Transcribed,546.00m,37km,3.30,17.40,10.40,,,0.00,,RED EARTH,546.00m,37km,3.50,-7.90,43,0.00,11,13,,95.43,,,NA,,,Heavy static.,,H-P10-29-10_20210526_052000.wav,t
Edge Communities,BU,H-P10-29-10,2021-05-26,05:20:00,Active,56.771700,-114.833780,,WIWR,Troglodytes hiemalis,Winter Wren,AVES,3m 1SPR,Light,None,Light,None,Both Sides Extra Static,2,Gill Holmes,Confident,1,,,,,,,,,Song,30.4,1.87kHz to 7.94kHz,4.95,RED EARTH,Transcribed,546.00m,37km,3.30,17.40,10.40,,,0.00,,RED EARTH,546.00m,37km,3.50,-7.90,43,0.00,11,13,,95.43,,,NA,,,Heavy static.,,H-P10-29-10_20210526_052000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,1,Gill Holmes,Confident,1,Song,1.4,1.17kHz to 5.18kHz,1.35,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,1.4,1.12kHz to 5.09kHz,1.85,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,1,Gill Holmes,Confident,1,Song,1.4,1.73kHz to 6.63kHz,3.43,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,2,Gill Holmes,Confident,3,Song,6.7,0.14kHz to 7.66kHz,3.05,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,2,Gill Holmes,Confident,1,Song,8.3,1.49kHz to 5.42kHz,6.98,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,its the remix.,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,OVEN,Seiurus aurocapilla,Ovenbird,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,13.1,2.85kHz to 8.73kHz,2.94,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,UNPA, ,Unidentified Passerine,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,1,Gill Holmes,Unknown far,1,Song,16.7,2.19kHz to 7.14kHz,1.86,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,OVEN,Seiurus aurocapilla,Ovenbird,AVES,3m 1SPR,None,None,None,None,None,2,Kelsey Bell,Confident,1,Song,18.9,2.43kHz to 7.80kHz,2.08,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,3,Gill Holmes,Confident,1,Song,19.1,0.84kHz to 5.46kHz,3.68,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,BCFR,Pseudacris maculata,Boreal Chorus Frog,AMPHIBIA,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,1,Gill Holmes,Confident,CI 1,Song,25.2,0.84kHz to 5.37kHz,1.99,,,,,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,OVEN,Seiurus aurocapilla,Ovenbird,AVES,3m 1SPR,None,None,None,None,None,3,Kelsey Bell,Confident,1,Song,37.3,2.43kHz to 8.45kHz,2.50,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,SWTH,Catharus ustulatus,Swainson's Thrush,AVES,3m 1SPR,None,None,None,None,None,2,Kelsey Bell,Confident,1,Song,42.0,0.84kHz to 4.06kHz,1.03,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,R-P10-31-2,2021-05-26,22:20:00,Active,57.841840,-115.562981,,RUGR,Bonasa umbellus,Ruffed Grouse,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Non-vocal,48.6,0.00kHz to 0.37kHz,10.70,,,,,,,,,LA CRETE AGCM,Transcribed,323.00m,59km,5.20,16.50,10.80,,,0.00,,LA CRETE AGCM,323.00m,59km,11.70,5.70,67,0.00,13,10,,,,,NA,,,,,R-P10-31-2_20210526_222000.wav,t
Edge Communities,BU,H-P10-29-10,2021-05-26,22:20:00,Active,56.771700,-114.833780,,WIWR,Troglodytes hiemalis,Winter Wren,AVES,3m 1SPR,None,None,None,None,None,1,Kelsey Bell,Confident,1,Song,58.6,2.85kHz to 6.02kHz,4.00,,,,,,,,,RED EARTH,Transcribed,546.00m,37km,3.30,17.40,10.40,,,0.00,,RED EARTH,546.00m,37km,12.90,4.10,55,0.00,14,12,,94.69,,,NA,,,,,H-P10-29-10_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,4,Gill Holmes,Confident,1,,,,,Song,16.5,1.73kHz to 5.98kHz,4.05,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
Edge Communities,BU,R-E0-19-43,2021-05-26,22:20:00,Active,55.219940,-113.400427,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,Light,Light,Moderate,None,Both Sides Extra Static,5,Gill Holmes,Confident,1,,,,,Song,22.8,1.73kHz to 5.98kHz,3.75,,,,,PLEASANT VIEW,Transcribed,649.00m,29km,1.40,14.90,8.20,,,0.00,,PLEASANT VIEW,649.00m,29km,11.10,2.50,55,0.00,9,20,,,,,NA,,,,,R-E0-19-43_20210526_222000.wav,t
